공고번호,추정가격,지역제한,종목,특수실적,계약방법,적격평가세부기준,입력일
R26BK01312414-000,63250000,"전북,남원시","전문소방/(전기소방,기계소방)",,수의,,2026-02-04
R26BK01312398-000,35540000,"전북,남원시",통신,,수의,,2026-02-04
E012600641,74478000,서울,통신,,수의,,2026-02-04
R26BK01299052-000,59590000,"충남,공주시",통신,,수의,,2026-02-04
R26BK01317545-000,95420000,"인천,옹진군",통신,,수의,,2026-02-04
R26BK01315933-000,96870319,"충남,태안군",전기,,수의,,2026-02-04
R26BK01315187-000,116339091,"강원,춘천시",통신,,수의,,2026-02-04
R26BK01315875-000,21199092,"경기,연천군",전기,,수의,,2026-02-04
R26BK01315912-000,44417274,"경기,연천군",전기,,수의,,2026-02-04
2026-00531,147742727,서울,전기,,수의,,2026-02-04
R26BK01314430-000,81672728,울산,전기,,수의,,2026-02-04
R26BK01313891-000,123458182,"경북,경주시",전기,,수의,,2026-02-04
R26BK01315904-000,760272728,충남,전기,,적격심사,조달청_별표-2,2026-02-04
R26BK01315890-000,179545454,서울,전기,,적격심사,행자부_별표-7,2026-02-04
R26BK01316463-000,221910364,인천,전기,,적격심사,행자부_별표-6,2026-02-04
E012600652,219927979,전국,전기,장비[오수처리및온도],적격심사,한국전력공사_3억미만,2026-02-04
E012600679,834937000,인천/경기,통신,,적격심사,한국전력공사_10억미만,2026-02-04
E052600062,109362000,제주,통신,,적격심사,조달청_별표-4,2026-02-04
E022600049,176428000,"충남,태안군",전기,,적격심사,조달청_별표-4,2026-02-04
R26BK01315959-000,268568182,전국,전기,,적격심사,조달청_별표-4,2026-02-04
R26BK01316844-000,357890000,충남,전기,,적격심사,조달청_별표-2,2026-02-04
R26BK01303613-001,250140000,전북,통신,,적격심사,행자부_별표-6,2026-02-04
R26BK01317538-000,406370000,인천,전기,,적격심사,행자부_별표-5,2026-02-04
202602-003,168518000,서울/인천/경기,전문소방,특수실적,적격심사,국방부_별지-6,2026-02-04
R26BK01317227-000,348397273,경기,전기,,적격심사,행자부_별표-6,2026-02-04
E012600396-2,881911700,경남,전기,개폐기2급_적격업체,적격심사,한국전력공사_10억미만,2026-02-04
R26BK01317420-000,402881818,강원,"전문소방/(전기소방,기계소방)",,적격심사,행자부_별표-5,2026-02-04
R26BK01317203-000,554387273,강원,전기,,적격심사,행자부_별표-5,2026-02-04
E012600596,124512000,경기,전기,개폐기2급_적격업체,적격심사,한국전력공사_3억미만,2026-02-04
R26BK01313951-000,531792729,경기,전문소방,,적격심사,행자부_별표-5,2026-02-04
R26BK01314358-001,147909090,경기,"전문소방/(전기소방,기계소방)",,적격심사,행자부_별표-7,2026-02-04
E062600057,104350000,전국,전기,특수실적,적격심사,조달청_별표-4,2026-02-04
R26BK01316862-000,181220000,충북,전기,,적격심사,행자부_별표-7,2026-02-04
